Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Zuigelingenvoeding nr 1 (lees pak!);1,4;67;100 ml;100 gram;1,4;67;oranje;Zuigelingenvoeding
Vruchtentaart van biscuitdeeg m slagr;3,1;228;1 punt;100 gram;3,1;228;oranje;Gebak en koek
Vegan Zeastar Zalmon Sashimi;0,2;58;1 portie;115 gram;0,2;67;groen;Vegetarische producten
Smarties mini (1 doosje= 14 g);5,3;478;1 doosje;14 gram;0,7;67;oranje;Snoep, suiker, zoete sauzen
Eiwitarme chocolade (Metax);1,5;610;1 stukje;5 gram;0,1;31;oranje;Chocola
Sausage mix, eiwitarm (Promin) bereid;0,9;148;1 portie;80 gram;0,7;118;oranje;Vlees en vleeswaren
Rijstdrink nat. (< 0,3 g E/ 100 g: lees pak!);0,3;53;1 pakje;200 ml;0,6;106;groen;Melk/yoghurtdrank
Plantaardige topping ;0,5;254;1 eetlepel;10 gram;0,1;25;groen;Melkproducten- Room
Ontbijtfantasie, eiwitarm (Loprofin);0,3;359;1 portie;30 gram;0,1;108;groen;Graanproducten, pappen en bindmiddelen
Mini Crackers eiwitarm (Prov. Kr) Vitaflo;0,5;444;1 zakje;40 gram;0,2;178;groen;Brood en crackers
Kokosdrink naturel (Alpro, AH, Melkan);0,1;24;1 glas;200 ml;0,2;48;groen;Melk/yoghurtdrank
Kaasvervanger, vegan (lees pak!);0,2;270;1 voor 1 snee;20 gram;0;54;groen;Kaas
Groentespread tom/papr/spin (Zonnatura);4,6;210;1 voor 1 snee;15 gram;0,7;32;oranje;Broodbeleg, hartig
Griesmeel (onbereid);11;337;1 eetlepel;10 gram;1,1;34;oranje;Graanproducten, pappen en bindmiddelen
Glutenvrije pasta Schär, onb (lees pak!);9;358;100 gram;100 gram;9;358;rood;Graanproducten, pappen en bindmiddelen
Glutenvrij meergr. brood- gem (lees pak!);5;236;1 snee;35 gram;1,8;83;oranje;Brood en crackers
Glutenvrij brood bruin/wit- gem (lees pak!);4,1;209;1 snee;35 gram;1,4;73;oranje;Brood en crackers
Zoute krakelingen, glutenvrij (Schär);0,9;482;1 zakje;60 gram;0,5;289;oranje;Snacks
Gevulde speculaas (st. 3x3x3 cm);7,3;436;1 stukje;24 gram;1,7;105;oranje;Gebak en koek
Evergreen, appel/ bosvr. (Liga);6,4;387;1 stuk;21 gram;1,3;81;oranje;Gebak en koek
Drinkontbijt, Brinta Wake Up nat.;5,7;350;1 zakje;23 gram;1,3;81;oranje;Graanproducten, pappen en bindmiddelen
Danoontje Vegan knijp'yoghurt';1,1;73;1 portie;90 gram;1;66;oranje;Melkproducten- Nagerechten
Couscous, eiwitarm (Promin) onbereid;0,1;353;100 gram;100 gram;0,1;353;groen;Graanproducten, pappen en bindmiddelen
Choc reep Vegan Hema 'melk';1,7;544;1 halve;45 gram;0,8;245;oranje;Chocola
Choc reep Vegan Hema 'caramel z-zout';1,6;533;1 halve;45 gram;0,7;240;oranje;Chocola
Cheesy krauter (Metax) smeerkaas eiwitarm;4;331;1 voor 1 snee;15 gram;0,6;50;oranje;Kaas
Cheesy mild (Metax) smeerkaas eiwitarm;4,4;364;1 voor 1 snee;15 gram;0,7;55;oranje;Kaas
Brood, eiwitarm (wit / bruin);0,5;246;1 snee;30 gram;0,2;74;groen;Brood en crackers
Aardappel-peper mltd-salade (Johma);1,6;204;1 bolletje;50 gram;0,8;102;oranje;Salades
Mihoen rijstmie (gek);1,8;103;100 gram;100 gram;1,8;103;oranje;Graanproducten, pappen en bindmiddelen
Mihoen rijstmie, gem (rauw);7,1;375;100 gram;100 gram;7,1;375;rood;Graanproducten, pappen en bindmiddelen
Ketjap, zout;2,8;211;1 theelepel;5 gram;0,1;11;oranje;Vetten, oliën en hartige sauzen
Ketjap, zoet;3,5;234;1 theelepel;5 gram;0,2;12;oranje;Vetten, oliën en hartige sauzen
Limonadesiroop voor 1 glas;0;233;30 ml;30 gram;0;70;groen;Dranken
Perzik (zonder schil);1;41;1 stuk;110 gram;1,1;45;groen;Fruit
Zonnebloempitten;18;647;1 eetlepel;15 gram;2,7;97;rood;Noten, zaden en chips
Knijpfruit 6+/12+ mnd - lees pak;0,6;60;1 zakje;90 gram;0,5;54;groen;Fruit
Cracker, glutenvrij (classic) Wasa;4;395;1 stuk;13 gram;0,5;51;oranje;Brood en crackers
Maiswafel naturel;6,5;384;1 stuk;7 gram;0,5;27;oranje;Brood en crackers
Oatgurt haveryoghurt naturel;2,3;61;1 schaaltje;150 gram;3,5;92;oranje;Melkproducten- Nagerechten
Oatgurt haveryoghurt vanille/ bosbes;2,1;82;1 schaaltje;150 gram;3,2;123;oranje;Melkproducten- Nagerechten
Pizzabodem glutenvrij (Schär);3;291;1 stuk;150 gram;4,5;437;oranje;Samengestelde gerechten
Kruidenboter (AH);1,2;623;1 portie;10 gram;0,1;62;groen;Broodbeleg, hartig
Croissant glutenvrij (DV, Schär);3,4;327;1 stuk;55 gram;1,9;180;oranje;Brood en crackers
Croissant glutenvrij (afbak, Proceli);1,2;350;1 stuk;50 gram;0,6;175;oranje;Brood en crackers
Portobello;2,5;29;100 gram;100 gram;2,5;29;oranje;Groenten en peulvruchten
Bosui, lenteui;1,5;31;100 gram;100 gram;1,5;31;oranje;Groenten en peulvruchten
